Price,Close,High,Low,Open,Volume,daily_return
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,
Date,,,,,,
2021-01-04,243.2566680908203,248.163330078125,239.06333923339844,239.82000732421875,145914600,
2021-01-05,245.0366668701172,246.94667053222656,239.73333740234375,241.22000122070312,96735600,0.7317368906131216
2021-01-06,251.9933319091797,258.0,249.6999969482422,252.8300018310547,134100000,2.8390302267496503
2021-01-07,272.0133361816406,272.3299865722656,258.3999938964844,259.2099914550781,154496700,7.9446563608581044
2021-01-08,293.3399963378906,294.8299865722656,279.46331787109375,285.3333435058594,225166500,7.840299470467449
2021-01-11,270.39666748046875,284.80999755859375,267.8733215332031,283.1333312988281,177904800,-7.8214117215008265
2021-01-12,283.14666748046875,289.3333435058594,275.7799987792969,277.0,138812100,4.7152947996006445
2021-01-13,284.8033447265625,286.8233337402344,277.3333435058594,284.2533264160156,99937500,0.5850950889994211
2021-01-14,281.6666564941406,287.6666564941406,279.5833435058594,281.1300048828125,93798900,-1.1013523157297866
2021-01-15,275.38665771484375,286.6333312988281,273.0333251953125,284.0,116332800,-2.229585445953386
2021-01-19,281.51666259765625,283.3333435058594,277.6666564941406,279.26666259765625,76101000,2.2259629183487784
2021-01-20,283.48333740234375,286.5,279.09332275390625,286.2466735839844,76997700,0.698599786790699
2021-01-21,281.663330078125,285.239990234375,280.47332763671875,285.0,61563300,-0.6420156263490129
2021-01-22,282.21331787109375,282.6666564941406,276.2066650390625,278.10333251953125,60199500,0.19526425140830028
2021-01-25,293.6000061035156,300.1333312988281,279.6066589355469,285.0,123520200,4.034780611460365
2021-01-26,294.36334228515625,298.6333312988281,290.5333251953125,297.1266784667969,69394800,0.25999188207492807
2021-01-27,288.0533447265625,297.1666564941406,286.2200012207031,290.1166687011719,82002000,-2.143608477064074
2021-01-28,278.4766540527344,282.6666564941406,267.0,273.3333435058594,79134000,-3.3246240146660666
2021-01-29,264.510009765625,280.8033447265625,260.0333251953125,276.6666564941406,104972400,-5.015373491403896
2021-02-01,279.9366760253906,280.6666564941406,265.1866760253906,271.42999267578125,76174200,5.832167286763457
2021-02-02,290.92999267578125,293.5,280.73333740234375,281.55999755859375,73038600,3.9270726531715816
2021-02-03,284.89666748046875,292.6933288574219,284.35333251953125,292.3399963378906,55030500,-2.0738065332563282
2021-02-04,283.3299865722656,285.5,277.8066711425781,285.0,47438100,-0.5499119810906672
2021-02-05,284.07666015625,288.25665283203125,279.65667724609375,281.6666564941406,55699800,0.26353496607176563
2021-02-08,287.8066711425781,292.5899963378906,284.9166564941406,289.8900146484375,60485100,1.31302972383458
2021-02-09,283.1533203125,286.6000061035156,280.5833435058594,285.0400085449219,45473100,-1.6168321643152184
2021-02-10,268.2733459472656,281.6066589355469,266.67333984375,281.21331787109375,108648300,-5.255094430399831
2021-02-11,270.5533447265625,276.6266784667969,267.24334716796875,270.8133239746094,64868400,0.8498789811735685
2021-02-12,272.0400085449219,272.4433288574219,261.77667236328125,267.086669921875,71304900,0.5494900903412869
2021-02-16,265.40667724609375,273.6666564941406,264.14666748046875,272.6666564941406,59406900,-2.4383660823671716
2021-02-17,266.04998779296875,266.61334228515625,254.00332641601562,259.6966552734375,77989500,0.24238672272682837
2021-02-18,262.4599914550781,264.89666748046875,258.75665283203125,260.29998779296875,53871300,-1.3493691045324274
2021-02-19,260.4333190917969,265.5966796875,259.1233215332031,265.0,56874900,-0.7721833533733569
2021-02-22,238.1666717529297,256.1666564941406,236.73333740234375,254.2133331298828,111809100,-8.549845855559933
2021-02-23,232.94667053222656,237.8699951171875,206.3333282470703,220.7100067138672,199820700,-2.1917429429917368
2021-02-24,247.33999633789062,248.3333282470703,231.38999938964844,237.28334045410156,110301000,6.178807266392261
2021-02-25,227.4066619873047,245.73666381835938,223.52667236328125,242.0500030517578,117071700,-8.059082496045267
2021-02-26,225.1666717529297,235.56666564941406,219.836669921875,233.3333282470703,123267600,-0.9850152211020369
2021-03-01,239.47666931152344,239.6666717529297,228.35000610351562,230.0366668701172,81408600,6.3552911481925545
2021-03-02,228.81333923339844,240.3699951171875,228.3333282470703,239.42666625976562,71196600,-4.452763648659907
2021-03-03,217.73333740234375,233.56666564941406,217.23666381835938,229.3300018310547,90624000,-4.842375828339563
2021-03-04,207.14666748046875,222.81666564941406,200.0,218.60000610351562,197758500,-4.862218183112754
2021-03-05,199.31666564941406,209.27999877929688,179.8300018310547,208.68666076660156,268189500,-3.7799313531283074
2021-03-08,187.6666717529297,206.7100067138672,186.26333618164062,200.18333435058594,155361000,-5.844967282854318
2021-03-09,224.52667236328125,226.02999877929688,198.40333557128906,202.72666931152344,202569900,19.64120760817838
2021-03-10,222.68666076660156,239.28334045410156,218.35333251953125,233.43333435058594,181817100,-0.8195069108326569
2021-03-11,233.1999969482422,234.1666717529297,225.72666931152344,233.13333129882812,108761700,4.721134236531421
2021-03-12,231.2433319091797,231.6266632080078,222.04666137695312,223.3333282470703,100751400,-0.8390501992574073
2021-03-15,235.97999572753906,237.72666931152344,228.01333618164062,231.3633270263672,88006800,2.0483461206222797
2021-03-16,225.6266632080078,235.97332763671875,223.6666717529297,234.4499969482422,96587100,-4.387377195940434
2021-03-17,233.93666076660156,234.57666015625,217.00332641601562,218.9566650390625,121117500,3.6830742610117317
2021-03-18,217.72000122070312,229.7433319091797,217.3333282470703,228.09666442871094,99674400,-6.932072763951169
2021-03-19,218.2899932861328,219.07666015625,208.2066650390625,215.53334045410156,128682000,0.26180050626212203
2021-03-22,223.3333282470703,233.2066650390625,222.9166717529297,228.19667053222656,118536600,2.3103830299388672
2021-03-23,220.72000122070312,225.93333435058594,219.1699981689453,225.2566680908203,91475700,-1.170146456365928
2021-03-24,210.08999633789062,222.67333984375,210.0366668701172,222.6366729736328,101385600,-4.8160587278102245
2021-03-25,213.4633331298828,215.1666717529297,203.1666717529297,204.3333282470703,117674700,1.6056627401557888
2021-03-26,206.23666381835938,214.60667419433594,199.9633331298828,213.9566650390625,101558400,-3.3854382415767548
2021-03-29,203.76333618164062,205.4933319091797,198.67333984375,205.2133331298828,85911000,-1.199266702111268
2021-03-30,211.8733367919922,212.55332946777344,197.00332641601562,200.5833282470703,118297200,3.9801078851212424
2021-03-31,222.64332580566406,224.0,213.70333862304688,215.5399932861328,100011900,5.083220558444013
2021-04-01,220.5833282470703,230.80667114257812,219.80667114257812,229.4566650390625,105895200,-0.9252455923119962
2021-04-05,230.35000610351562,236.05332946777344,228.23333740234375,235.90333557128906,125528400,4.427659122771899
2021-04-06,230.5399932861328,232.18333435058594,227.1233367919922,230.10000610351562,84815400,0.08247761127986308
2021-04-07,223.6566619873047,230.4600067138672,222.6133270263672,229.0,78928200,-2.985742820893089
2021-04-08,227.93333435058594,229.85000610351562,223.88333129882812,225.7933349609375,71772900,1.912159613436426
2021-04-09,225.67333984375,226.99000549316406,223.14332580566406,225.92333984375,64311300,-0.9915155733034697
2021-04-12,233.9933319091797,234.93333435058594,227.3633270263672,228.56666564941406,87407100,3.686741230129442
2021-04-13,254.10667419433594,254.3333282470703,236.8866729736328,237.56666564941406,133958400,8.59569036478478
2021-04-14,244.07666015625,260.2633361816406,242.67666625976562,256.8999938964844,147052200,-3.947166704647498
2021-04-15,246.28334045410156,247.89666748046875,240.43666076660156,247.6999969482422,83546700,0.9040931223980753
2021-04-16,246.5933380126953,249.80332946777344,241.53334045410156,242.88333129882812,83938500,0.12587029151958085
2021-04-19,238.2100067138672,241.8000030517578,230.60000610351562,239.86666870117188,119058600,-3.3996584686308617
2021-04-20,239.663330078125,245.75,236.89666748046875,239.13999938964844,106827000,0.6101017267521991
2021-04-21,248.0399932861328,248.27999877929688,232.6666717529297,234.92333984375,93646500,3.4951793439894185
2021-04-22,239.89666748046875,251.2566680908203,239.34666442871094,247.1666717529297,106770900,-3.283069676699324
2021-04-23,243.13333129882812,245.7866668701172,238.48666381835938,239.93333435058594,85110000,1.3491908213451476
2021-04-26,246.06666564941406,249.76666259765625,244.20333862304688,247.0,93115500,1.2064715006025573
2021-04-27,234.913330078125,241.3333282470703,234.4499969482422,239.32000732421875,88311000,-4.532647907368281
2021-04-28,231.46665954589844,236.1666717529297,231.1999969482422,232.1366729736328,66813000,-1.4672094304228334
2021-04-29,225.6666717529297,234.0833282470703,222.8333282470703,233.1699981689453,86536200,-2.505755171974844
2021-04-30,236.47999572753906,238.49000549316406,222.04666137695312,222.52999877929688,122276100,4.791723957558203
2021-05-03,228.3000030517578,235.3333282470703,226.8333282470703,234.60000610351562,81129300,-3.4590632711300695
2021-05-04,224.53334045410156,227.81666564941406,219.23333740234375,226.31333923339844,89217900,-1.649874089928205
2021-05-05,223.64666748046875,228.43333435058594,222.44667053222656,227.02000427246094,65705700,-0.39489590803735153
2021-05-06,221.17999267578125,227.0066680908203,216.6666717529297,226.9199981689453,83353800,-1.1029338520784915
2021-05-07,224.1233367919922,230.0,220.07333374023438,221.93333435058594,70407600,1.3307460953421169
2021-05-10,209.67999267578125,221.68333435058594,209.20333862304688,221.63333129882812,94177200,-6.444373139784076
2021-05-11,205.73333740234375,209.03334045410156,198.53334045410156,199.74667358398438,139511700,-1.8822278764288325
2021-05-12,196.6300048828125,206.80332946777344,195.58999633789062,200.8300018310547,101470800,-4.424821292685421
2021-05-13,190.56333923339844,202.15333557128906,186.5500030517578,200.51333618164062,132554700,-3.0853203980896415
2021-05-14,196.5800018310547,197.6233367919922,190.15333557128906,194.47000122070312,100112700,3.157303299711356
2021-05-17,192.27667236328125,196.57666015625,187.06666564941406,191.85000610351562,97171200,-2.189098294684022
2021-05-18,192.6233367919922,198.75,187.7933349609375,189.3333282470703,110491800,0.18029458511532592
2021-05-19,187.82000732421875,188.73666381835938,182.32666015625,184.18333435058594,118735200,-2.493638386588848
2021-05-20,195.5933380126953,196.28334045410156,190.35667419433594,191.6666717529297,92463300,4.138712802336375
2021-05-21,193.6266632080078,198.89332580566406,193.3333282470703,198.70333862304688,78091800,-1.0054917128925145
2021-05-24,202.14666748046875,204.82666015625,191.21665954589844,193.86666870117188,103674300,4.40022264046771
2021-05-25,201.56333923339844,204.663330078125,198.57000732421875,202.43666076660156,84017700,-0.2885668382965889
2021-05-26,206.3766632080078,208.72332763671875,200.5,202.52000427246094,85917900,2.3879957500782645
2021-05-27,210.28334045410156,210.3766632080078,205.40333557128906,206.74667358398438,79111800,1.8929840154243482
2021-05-28,208.4066619873047,211.8633270263672,207.4600067138672,209.5,68211000,-0.8924522802159385
2021-06-01,207.96665954589844,211.26666259765625,206.85000610351562,209.26666259765625,54254700,-0.2111268599623961
2021-06-02,201.7066650390625,207.7866668701172,199.7133331298828,206.7100067138672,69908400,-3.0100952337768105
2021-06-03,190.94667053222656,201.51666259765625,190.4066619873047,200.60000610351562,90335700,-5.334476431283097
2021-06-04,199.68333435058594,200.20333862304688,192.39999389648438,193.23666381835938,72110700,4.575447057551529
2021-06-07,201.7100067138672,203.3333282470703,194.2933349609375,197.27667236328125,67631100,1.0149431698305955
2021-06-08,201.19667053222656,207.69667053222656,198.5,207.6699981689453,78160200,-0.2544921741878703
2021-06-09,199.5933380126953,203.92999267578125,199.2100067138672,200.72332763671875,49753800,-0.7968981371759054
2021-06-10,203.3733367919922,205.52999877929688,200.1666717529297,201.2933349609375,71758800,1.8938501740255687
2021-06-11,203.29666137695312,204.18666076660156,200.5066680908203,203.41000366210938,48615900,-0.03770180312155924
2021-06-14,205.89666748046875,208.49667358398438,203.05999755859375,204.07666015625,61272000,1.2789221849023313
2021-06-15,199.7866668701172,205.59666442871094,199.41000366210938,205.56333923339844,53292300,-2.967508257962048
2021-06-16,201.6233367919922,202.8333282470703,197.8333282470703,199.17999267578125,66432300,0.9193155632698069
2021-06-17,205.53334045410156,207.1566619873047,200.44667053222656,200.6300048828125,68104200,1.9392614586788648
2021-06-18,207.77000427246094,209.4499969482422,203.93333435058594,204.4566650390625,73682700,1.0882243306208794
2021-06-21,206.94332885742188,210.4633331298828,202.9600067138672,208.16000366210938,74438100,-0.39788005873793164
2021-06-22,207.90333557128906,209.52333068847656,205.1666717529297,206.0833282470703,57476700,0.4638983624974058
2021-06-23,218.85667419433594,219.06666564941406,210.01333618164062,210.6666717529297,93297600,5.268476618207507
2021-06-24,226.60667419433594,232.5399932861328,222.5366668701172,224.99667358398438,137947200,3.5411302984154513
2021-06-25,223.9566650390625,231.27000427246094,222.89999389648438,229.86000061035156,97490100,-1.1694312026312215
2021-06-28,229.57333374023438,231.56666564941406,223.44000244140625,223.8800048828125,64884600,2.5079265670401973
2021-06-29,226.9199981689453,229.1699981689453,225.29666137695312,228.21665954589844,52143900,-1.1557681931348984
